o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority
3000199,4886,O,145324.95,1996-01-21,4-NOT SPECIFIED,Clerk#000000063,0
3000224,58726,F,149237.46,1992-06-08,3-MEDIUM,Clerk#000000456,0
3000225,1021,O,103153.47,1998-07-28,1-URGENT,Clerk#000000209,0
3000226,59683,F,131562.00,1993-05-29,2-HIGH,Clerk#000000406,0
3000227,32780,F,235022.62,1994-06-05,4-NOT SPECIFIED,Clerk#000000600,0
3000228,132364,F,48316.52,1992-03-09,4-NOT SPECIFIED,Clerk#000000545,0
3000229,120799,O,314003.10,1996-10-24,4-NOT SPECIFIED,Clerk#000000007,0
3000230,8087,O,303863.87,1998-03-09,5-LOW,Clerk#000000689,0
3000231,7108,O,236419.48,1997-09-03,1-URGENT,Clerk#000000243,0
3000256,32149,O,103391.31,1998-03-16,1-URGENT,Clerk#000000328,0
3000257,148376,O,330193.29,1996-04-04,2-HIGH,Clerk#000000875,0
3000258,146728,F,128727.92,1992-09-26,3-MEDIUM,Clerk#000000046,0
3000259,54917,F,41217.29,1993-09-16,3-MEDIUM,Clerk#000000958,0
3000260,29495,F,71343.53,1994-12-31,5-LOW,Clerk#000000924,0
3000261,108329,F,221074.04,1994-09-17,2-HIGH,Clerk#000000691,0
3000262,126724,O,157173.15,1996-11-04,5-LOW,Clerk#000000584,0
3000263,127222,F,220527.96,1993-03-19,5-LOW,Clerk#000000453,0
3000288,97532,F,123352.39,1994-06-29,1-URGENT,Clerk#000000196,0
3000289,19798,O,108525.38,1995-09-27,3-MEDIUM,Clerk#000000679,0
3000290,18611,F,179863.33,1994-02-08,1-URGENT,Clerk#000000635,0
3000291,35083,F,118735.34,1995-03-31,4-NOT SPECIFIED,Clerk#000000487,0
3000292,134816,O,114998.75,1997-05-13,1-URGENT,Clerk#000000922,0
3000293,97345,O,158910.54,1996-11-02,1-URGENT,Clerk#000000563,0
3000294,20840,O,218593.40,1997-10-24,2-HIGH,Clerk#000000335,0
3000295,169,O,203842.12,1995-08-22,4-NOT SPECIFIED,Clerk#000000425,0
3000320,121366,O,105402.93,1996-12-08,4-NOT SPECIFIED,Clerk#000000994,0
3000321,95207,F,113964.71,1992-09-09,1-URGENT,Clerk#000000462,0
3000322,77284,F,297882.34,1992-12-25,2-HIGH,Clerk#000000064,0
3000323,60511,F,220018.67,1994-03-27,1-URGENT,Clerk#000000020,0
3000324,145336,F,211646.24,1993-03-31,3-MEDIUM,Clerk#000000354,0
3000325,59032,O,273053.05,1997-12-27,4-NOT SPECIFIED,Clerk#000000820,0
3000326,41866,F,135067.62,1993-09-01,1-URGENT,Clerk#000000717,0
3000327,134278,O,33994.30,1997-03-22,1-URGENT,Clerk#000000824,0
3000352,55928,F,173274.71,1992-10-05,4-NOT SPECIFIED,Clerk#000000629,0
3000353,75319,F,191711.04,1993-11-12,3-MEDIUM,Clerk#000000589,0
3000354,23900,O,148048.45,1996-08-08,5-LOW,Clerk#000000711,0
3000355,127138,F,169455.02,1994-04-23,1-URGENT,Clerk#000000175,0
3000356,27802,F,166514.72,1994-08-09,1-URGENT,Clerk#000000119,0
3000357,17800,F,183302.63,1993-01-19,2-HIGH,Clerk#000000879,0
3000358,44107,O,95991.02,1998-03-20,5-LOW,Clerk#000000959,0
3000359,141742,O,66669.83,1997-11-28,3-MEDIUM,Clerk#000000571,0
3000384,96541,F,81462.06,1994-05-06,2-HIGH,Clerk#000000465,0
3000385,6484,O,241310.98,1998-05-18,5-LOW,Clerk#000000352,0
3000386,67507,O,92319.20,1997-10-04,3-MEDIUM,Clerk#000000598,0
3000387,132388,F,192985.43,1994-07-09,3-MEDIUM,Clerk#000000108,0
3000388,93740,O,237473.68,1997-09-09,3-MEDIUM,Clerk#000000473,0
3000389,25927,O,10206.48,1995-06-14,2-HIGH,Clerk#000000895,0
3000390,146521,O,98121.54,1995-06-09,1-URGENT,Clerk#000000073,0
3000391,14602,O,59711.36,1998-05-29,2-HIGH,Clerk#000000872,0
3000416,6269,F,53277.42,1992-10-04,5-LOW,Clerk#000000411,0
3000417,60637,O,138237.49,1998-04-20,5-LOW,Clerk#000000149,0
3000418,19499,F,35572.33,1994-03-29,4-NOT SPECIFIED,Clerk#000000073,0
3000419,118228,O,214868.34,1995-07-27,2-HIGH,Clerk#000000037,0
3000420,125749,F,203821.54,1994-07-04,1-URGENT,Clerk#000000966,0
3000421,98167,F,76226.50,1994-02-12,3-MEDIUM,Clerk#000000289,0
3000422,21241,O,222157.30,1996-04-15,5-LOW,Clerk#000000422,0
3000423,117988,F,59082.63,1994-01-20,4-NOT SPECIFIED,Clerk#000000562,0
3000448,2584,F,56472.52,1993-04-06,5-LOW,Clerk#000000536,0
3000449,62750,O,25387.47,1997-06-18,3-MEDIUM,Clerk#000000658,0
3000450,128572,O,55221.42,1996-11-27,3-MEDIUM,Clerk#000000365,0
3000451,148114,O,76867.66,1995-12-24,5-LOW,Clerk#000000655,0
3000452,95635,O,141993.77,1997-03-04,5-LOW,Clerk#000000966,0
3000453,84673,F,106812.18,1992-10-25,1-URGENT,Clerk#000000466,0
3000454,23644,O,115892.92,1996-03-08,5-LOW,Clerk#000000775,0
3000455,9304,O,137006.99,1997-12-24,2-HIGH,Clerk#000000300,0
3000480,46009,O,368379.12,1996-04-30,4-NOT SPECIFIED,Clerk#000000348,0
3000481,18047,O,61339.09,1997-05-29,3-MEDIUM,Clerk#000000556,0
3000482,2779,F,152805.30,1993-02-19,3-MEDIUM,Clerk#000000969,0
3000483,48730,O,10167.20,1996-02-25,2-HIGH,Clerk#000000494,0
3000484,140878,O,60198.08,1995-05-28,1-URGENT,Clerk#000000881,0
3000485,136471,F,92375.41,1993-01-31,5-LOW,Clerk#000000800,0
3000486,12958,O,234600.01,1996-09-07,2-HIGH,Clerk#000000004,0
3000487,113611,F,154377.40,1992-11-02,2-HIGH,Clerk#000000234,0
3000512,88564,O,230191.56,1998-01-03,4-NOT SPECIFIED,Clerk#000000931,0
3000513,14219,O,257483.46,1995-11-25,5-LOW,Clerk#000000785,0
3000514,19978,O,156335.29,1996-07-01,1-URGENT,Clerk#000000840,0
3000515,40966,O,91257.97,1996-11-10,4-NOT SPECIFIED,Clerk#000000201,0
3000516,8803,O,148983.59,1996-01-30,4-NOT SPECIFIED,Clerk#000000384,0
3000517,50161,O,60228.05,1996-11-15,1-URGENT,Clerk#000000349,0
3000518,24826,F,289817.42,1994-05-29,2-HIGH,Clerk#000000365,0
3000519,88238,F,99213.85,1992-01-25,2-HIGH,Clerk#000000304,0
3000544,111013,F,165540.57,1994-03-17,5-LOW,Clerk#000000024,0
3000545,68374,F,98087.45,1994-08-10,2-HIGH,Clerk#000000640,0
3000546,138221,F,108443.54,1992-12-13,5-LOW,Clerk#000000232,0
3000547,28175,F,259614.91,1994-12-21,4-NOT SPECIFIED,Clerk#000000588,0
3000548,130825,O,25572.36,1998-03-06,2-HIGH,Clerk#000000333,0
3000549,55264,O,59628.35,1998-03-17,1-URGENT,Clerk#000000694,0
3000550,143990,F,183415.90,1992-01-31,1-URGENT,Clerk#000000594,0
3000551,82270,F,37577.04,1994-12-21,1-URGENT,Clerk#000000945,0
3000576,176,F,128014.05,1994-02-15,4-NOT SPECIFIED,Clerk#000000175,0
3000577,100957,O,42413.89,1997-07-12,3-MEDIUM,Clerk#000000870,0
3000578,124210,O,83820.34,1998-02-08,1-URGENT,Clerk#000000329,0
3000579,41330,F,135666.90,1994-09-04,5-LOW,Clerk#000000386,0
3000580,131125,F,131549.24,1993-11-11,1-URGENT,Clerk#000000001,0
3000581,11807,F,113281.93,1992-03-20,5-LOW,Clerk#000000459,0
3000582,129031,O,200699.32,1995-07-08,5-LOW,Clerk#000000600,0
3000583,66031,F,297563.39,1993-12-08,2-HIGH,Clerk#000000546,0
3000608,62033,F,178420.62,1994-08-22,1-URGENT,Clerk#000000241,0
3000609,81676,F,277796.04,1993-12-10,4-NOT SPECIFIED,Clerk#000000247,0
3000610,57229,O,102511.36,1997-02-26,3-MEDIUM,Clerk#000000468,0
3000611,28000,O,11047.46,1996-06-04,3-MEDIUM,Clerk#000000630,0
3000612,27310,F,15768.00,1994-12-07,5-LOW,Clerk#000000917,0
3000613,118196,P,117526.76,1995-05-28,3-MEDIUM,Clerk#000000634,0
3000614,69721,O,75776.24,1998-05-28,4-NOT SPECIFIED,Clerk#000000296,0
3000615,122552,O,158630.62,1997-04-02,3-MEDIUM,Clerk#000000286,0
3000640,73483,O,231913.88,1997-12-07,3-MEDIUM,Clerk#000000099,0
3000641,72272,F,111994.00,1992-09-11,4-NOT SPECIFIED,Clerk#000000677,0
3000642,124591,O,176176.77,1998-05-24,5-LOW,Clerk#000000021,0
3000643,140536,F,253258.22,1992-03-17,3-MEDIUM,Clerk#000000899,0
3000644,69526,F,190741.27,1994-12-03,4-NOT SPECIFIED,Clerk#000000580,0
3000645,10003,O,237774.83,1997-12-08,5-LOW,Clerk#000000575,0
3000646,95854,F,11718.27,1993-08-31,2-HIGH,Clerk#000000620,0
3000647,139568,O,46450.86,1998-05-18,4-NOT SPECIFIED,Clerk#000000835,0
3000672,18169,F,179581.76,1992-07-24,5-LOW,Clerk#000000986,0
3000673,106876,O,182977.69,1996-10-26,5-LOW,Clerk#000000422,0
3000674,2722,O,89206.28,1998-07-20,5-LOW,Clerk#000000102,0
3000675,142555,F,232615.30,1992-04-27,2-HIGH,Clerk#000000955,0
3000676,89188,O,289951.56,1995-05-30,4-NOT SPECIFIED,Clerk#000000235,0
3000677,26299,O,145238.35,1995-11-05,2-HIGH,Clerk#000000458,0
3000678,102268,O,363868.68,1996-05-13,4-NOT SPECIFIED,Clerk#000000194,0
3000679,95615,F,117659.14,1993-03-24,4-NOT SPECIFIED,Clerk#000000893,0
3000704,45568,O,136411.78,1996-07-26,3-MEDIUM,Clerk#000000801,0
3000705,101743,O,127495.69,1997-07-16,2-HIGH,Clerk#000000775,0
3000706,139661,F,117510.12,1994-11-09,1-URGENT,Clerk#000000790,0
3000707,69634,F,189379.87,1994-10-01,4-NOT SPECIFIED,Clerk#000000509,0
3000708,16078,F,277994.22,1993-06-26,5-LOW,Clerk#000000155,0
3000709,51571,F,58479.30,1994-04-27,4-NOT SPECIFIED,Clerk#000000779,0
3000710,30781,O,305609.92,1996-05-09,5-LOW,Clerk#000000096,0
3000711,118880,F,98205.73,1994-09-08,3-MEDIUM,Clerk#000000554,0
3000736,10081,F,286426.32,1994-04-24,2-HIGH,Clerk#000000490,0
3000737,65285,F,49889.37,1993-04-09,3-MEDIUM,Clerk#000000444,0
3000738,132196,F,142111.50,1994-06-26,4-NOT SPECIFIED,Clerk#000000624,0
3000739,8227,O,13234.08,1996-07-28,4-NOT SPECIFIED,Clerk#000000260,0
3000740,115316,F,215044.02,1994-07-10,5-LOW,Clerk#000000955,0
3000741,115744,O,136049.46,1997-05-07,2-HIGH,Clerk#000000105,0
3000742,83858,O,224889.97,1995-07-25,5-LOW,Clerk#000000201,0
3000743,146947,O,233798.03,1996-08-26,5-LOW,Clerk#000000060,0
3000768,121187,O,68179.36,1998-07-01,2-HIGH,Clerk#000000935,0
3000769,74734,F,207084.71,1992-07-31,1-URGENT,Clerk#000000819,0
3000770,101557,O,94196.13,1998-07-03,2-HIGH,Clerk#000000306,0
3000771,143809,F,307601.21,1992-07-03,3-MEDIUM,Clerk#000000244,0
3000772,19078,P,310543.48,1995-04-06,5-LOW,Clerk#000000147,0
3000773,75431,O,89298.20,1996-10-27,2-HIGH,Clerk#000000813,0
3000774,112603,F,208241.60,1993-11-04,3-MEDIUM,Clerk#000000696,0
3000775,106207,O,114493.94,1996-11-02,5-LOW,Clerk#000000965,0
3000800,147764,O,233012.19,1998-02-24,2-HIGH,Clerk#000000292,0
3000801,63143,O,180345.50,1995-10-04,2-HIGH,Clerk#000000579,0
3000802,140698,F,3746.74,1993-06-25,5-LOW,Clerk#000000838,0
3000803,87811,F,357644.33,1993-07-01,1-URGENT,Clerk#000000613,0
3000804,114424,O,76067.90,1997-09-19,1-URGENT,Clerk#000000778,0
3000805,107659,P,65719.31,1995-04-22,5-LOW,Clerk#000000124,0
3000806,96259,O,66684.21,1998-03-30,2-HIGH,Clerk#000000813,0
3000807,59582,O,18970.17,1998-04-01,3-MEDIUM,Clerk#000000724,0
3000832,143516,O,29675.53,1998-03-12,2-HIGH,Clerk#000000837,0
3000833,67595,O,284867.22,1997-02-22,2-HIGH,Clerk#000000781,0
3000834,115702,O,354425.83,1996-05-27,4-NOT SPECIFIED,Clerk#000000631,0
3000835,148190,F,38798.17,1992-09-01,4-NOT SPECIFIED,Clerk#000000104,0
3000836,14750,F,140565.35,1992-04-02,2-HIGH,Clerk#000000304,0
3000837,101129,O,115037.15,1996-07-11,3-MEDIUM,Clerk#000000365,0
3000838,13744,O,178463.92,1998-03-17,1-URGENT,Clerk#000000041,0
3000839,137248,O,202689.97,1997-06-15,5-LOW,Clerk#000000146,0
3000864,18547,O,255109.96,1996-03-30,5-LOW,Clerk#000000968,0
3000865,137899,F,190987.82,1994-01-28,2-HIGH,Clerk#000000641,0
3000866,3643,F,135045.61,1994-07-26,4-NOT SPECIFIED,Clerk#000000224,0
3000867,20524,O,216103.53,1997-05-01,4-NOT SPECIFIED,Clerk#000000058,0
3000868,64858,F,53232.79,1992-08-22,2-HIGH,Clerk#000000841,0
3000869,11581,F,246304.50,1994-08-09,1-URGENT,Clerk#000000379,0
3000870,68816,O,122133.86,1997-12-04,1-URGENT,Clerk#000000329,0
3000871,75176,O,141364.57,1996-08-08,5-LOW,Clerk#000000624,0
3000896,23479,F,183097.44,1994-02-19,5-LOW,Clerk#000000609,0
3000897,87904,O,88576.14,1996-11-13,5-LOW,Clerk#000000501,0
3000898,47236,F,14017.01,1993-09-10,5-LOW,Clerk#000000849,0
3000899,65162,F,165754.95,1993-08-05,1-URGENT,Clerk#000000778,0
3000900,21104,O,167537.51,1997-08-07,2-HIGH,Clerk#000000395,0
3000901,79183,F,209162.86,1992-05-11,2-HIGH,Clerk#000000115,0
3000902,15824,F,202790.32,1992-04-12,2-HIGH,Clerk#000000949,0
3000903,148606,F,154129.73,1993-11-01,2-HIGH,Clerk#000000863,0
3000928,106522,F,55225.85,1993-03-31,5-LOW,Clerk#000000589,0
3000929,41621,F,179821.61,1992-12-21,5-LOW,Clerk#000000467,0
3000930,63304,F,73907.10,1994-03-13,5-LOW,Clerk#000000810,0
3000931,140158,O,44163.35,1997-10-18,3-MEDIUM,Clerk#000000929,0
3000932,30697,O,63235.47,1997-01-22,4-NOT SPECIFIED,Clerk#000000495,0
3000933,69868,F,45437.16,1994-11-12,3-MEDIUM,Clerk#000000822,0
3000934,64916,O,92047.07,1996-08-31,2-HIGH,Clerk#000000284,0
3000935,79189,F,202920.42,1994-09-06,2-HIGH,Clerk#000000971,0
3000960,127484,P,199841.70,1995-03-21,4-NOT SPECIFIED,Clerk#000000331,0
3000961,11383,F,199761.71,1992-07-28,4-NOT SPECIFIED,Clerk#000000425,0
3000962,53213,F,25969.69,1995-01-17,2-HIGH,Clerk#000000394,0
3000963,48919,F,329993.98,1992-08-26,3-MEDIUM,Clerk#000000547,0
3000964,6757,O,22963.06,1995-09-10,4-NOT SPECIFIED,Clerk#000000477,0
3000965,2765,O,123907.21,1997-03-28,3-MEDIUM,Clerk#000000980,0
3000966,120941,F,74952.22,1993-11-04,4-NOT SPECIFIED,Clerk#000000159,0
3000967,670,F,229687.14,1992-07-04,4-NOT SPECIFIED,Clerk#000000582,0
3000992,4667,F,273325.77,1994-05-04,4-NOT SPECIFIED,Clerk#000000917,0
3000993,136205,F,51852.41,1993-05-13,2-HIGH,Clerk#000000108,0
3000994,39974,O,81641.98,1997-03-18,1-URGENT,Clerk#000000132,0
3000995,126706,O,129642.27,1996-02-19,5-LOW,Clerk#000000650,0
3000996,118903,F,43198.27,1992-06-03,3-MEDIUM,Clerk#000000412,0
3000997,92677,O,91468.12,1998-04-30,5-LOW,Clerk#000000818,0
3000998,149251,F,38618.95,1995-02-23,4-NOT SPECIFIED,Clerk#000000707,0
3000999,138394,O,322918.43,1998-01-03,5-LOW,Clerk#000000035,0
3001024,76319,O,191684.07,1998-03-19,3-MEDIUM,Clerk#000000016,0
3001025,31463,O,231442.56,1995-07-21,1-URGENT,Clerk#000000753,0
3001026,34099,O,20167.22,1998-03-14,2-HIGH,Clerk#000000653,0
3001027,81092,O,242511.02,1995-10-23,2-HIGH,Clerk#000000381,0
3001028,4120,F,188950.83,1992-12-27,3-MEDIUM,Clerk#000000839,0
3001029,81670,F,299431.50,1994-12-09,2-HIGH,Clerk#000000647,0
3001030,107564,O,63446.06,1996-05-13,5-LOW,Clerk#000000111,0
3001031,23191,O,254722.64,1997-09-01,1-URGENT,Clerk#000000737,0
3001056,46894,O,80038.01,1998-05-08,3-MEDIUM,Clerk#000000448,0
3001057,33958,F,83083.52,1994-09-29,5-LOW,Clerk#000000561,0
3001058,98612,F,233675.88,1993-03-09,3-MEDIUM,Clerk#000000206,0
3001059,8690,F,105514.76,1994-07-24,2-HIGH,Clerk#000000588,0
3001060,88522,O,355869.48,1996-09-11,5-LOW,Clerk#000000477,0
3001061,87422,O,365362.43,1996-03-06,4-NOT SPECIFIED,Clerk#000000099,0
3001062,42440,F,95549.53,1992-03-16,5-LOW,Clerk#000000683,0
3001063,37321,O,20059.72,1998-05-04,5-LOW,Clerk#000000159,0
3001088,100670,O,98773.54,1998-07-16,5-LOW,Clerk#000000881,0
3001089,104155,O,141958.07,1998-01-01,5-LOW,Clerk#000000261,0
3001090,749,F,225255.47,1994-04-10,2-HIGH,Clerk#000000340,0
3001091,134485,O,304972.69,1995-08-31,2-HIGH,Clerk#000000968,0
3001092,66325,F,126881.27,1994-02-10,5-LOW,Clerk#000000484,0
3001093,42734,O,156571.02,1997-07-06,2-HIGH,Clerk#000000208,0
3001094,18007,F,185522.85,1994-02-24,2-HIGH,Clerk#000000455,0
3001095,60772,P,275310.94,1995-04-20,3-MEDIUM,Clerk#000000904,0
3001120,20926,F,4044.57,1992-07-23,1-URGENT,Clerk#000000569,0
3001121,80510,F,80075.27,1994-05-21,4-NOT SPECIFIED,Clerk#000000986,0
3001122,118874,O,429993.34,1995-10-21,4-NOT SPECIFIED,Clerk#000000923,0
3001123,57187,F,163537.84,1992-06-08,1-URGENT,Clerk#000000203,0
3001124,81407,F,259708.47,1992-03-28,2-HIGH,Clerk#000000294,0
3001125,51245,F,34667.44,1994-09-20,3-MEDIUM,Clerk#000000526,0
3001126,112010,F,283891.64,1993-11-24,2-HIGH,Clerk#000000569,0
3001127,47809,F,123666.94,1992-01-29,5-LOW,Clerk#000000632,0
3001152,98372,O,250757.21,1998-07-28,4-NOT SPECIFIED,Clerk#000000927,0
3001153,35938,F,150170.20,1992-12-27,4-NOT SPECIFIED,Clerk#000000991,0
3001154,78571,O,38432.38,1997-07-20,4-NOT SPECIFIED,Clerk#000000471,0
3001155,77374,F,114684.25,1993-01-29,3-MEDIUM,Clerk#000000748,0
3001156,70498,F,18914.85,1994-02-14,4-NOT SPECIFIED,Clerk#000000126,0
3001157,130568,O,202728.73,1997-04-26,3-MEDIUM,Clerk#000000426,0
3001158,100793,F,281898.28,1994-08-20,2-HIGH,Clerk#000000762,0
3001159,76124,O,118959.43,1997-09-05,1-URGENT,Clerk#000000860,0
3001184,54166,F,101031.17,1994-07-30,3-MEDIUM,Clerk#000000606,0
3001185,149815,O,40786.37,1996-05-22,3-MEDIUM,Clerk#000000613,0
3001186,11279,O,138838.39,1997-02-19,5-LOW,Clerk#000000794,0
3001187,113254,O,142427.62,1996-07-17,1-URGENT,Clerk#000000704,0
3001188,104704,O,223126.52,1998-05-19,3-MEDIUM,Clerk#000000650,0
3001189,105967,O,102417.49,1996-06-10,3-MEDIUM,Clerk#000000153,0
3001190,9571,F,84185.51,1992-10-14,5-LOW,Clerk#000000965,0
3001191,55444,F,196460.28,1992-02-10,4-NOT SPECIFIED,Clerk#000000236,0
3001216,22471,O,77227.73,1995-10-23,2-HIGH,Clerk#000000352,0
3001217,90886,F,237434.77,1992-10-01,2-HIGH,Clerk#000000600,0
3001218,64465,F,187735.65,1993-04-29,2-HIGH,Clerk#000000756,0
3001219,145099,O,192431.68,1996-05-18,2-HIGH,Clerk#000000938,0
3001220,108610,F,92154.23,1992-04-09,5-LOW,Clerk#000000460,0
3001221,48685,P,257998.41,1995-05-24,1-URGENT,Clerk#000000414,0
3001222,142897,O,183148.22,1998-01-16,5-LOW,Clerk#000000227,0
3001223,406,F,165135.00,1992-10-09,2-HIGH,Clerk#000000472,0
3001248,63325,P,100245.49,1995-04-03,3-MEDIUM,Clerk#000000583,0
3001249,30271,F,144688.86,1993-12-22,1-URGENT,Clerk#000000741,0
3001250,81511,O,17517.61,1996-03-15,3-MEDIUM,Clerk#000000803,0
3001251,135916,F,67165.59,1994-10-04,1-URGENT,Clerk#000000170,0
3001252,119564,P,91797.34,1995-04-19,3-MEDIUM,Clerk#000000093,0
3001253,98302,F,244177.42,1992-05-30,1-URGENT,Clerk#000000306,0
3001254,58741,F,45063.32,1995-02-12,2-HIGH,Clerk#000000589,0
3001255,83974,F,241670.20,1994-10-23,2-HIGH,Clerk#000000507,0
3001280,145102,O,235946.58,1996-01-04,1-URGENT,Clerk#000000682,0
3001281,757,O,248714.55,1995-12-29,5-LOW,Clerk#000000164,0
3001282,99406,F,127992.86,1993-01-27,5-LOW,Clerk#000000574,0
3001283,140897,O,205099.87,1998-06-24,2-HIGH,Clerk#000000659,0
3001284,164,O,84455.53,1997-08-23,1-URGENT,Clerk#000000388,0
3001285,44813,F,58080.37,1993-10-26,1-URGENT,Clerk#000000718,0
3001286,8332,F,294793.07,1993-08-21,3-MEDIUM,Clerk#000000022,0
3001287,73825,O,8879.21,1997-04-06,5-LOW,Clerk#000000413,0
3001312,124246,F,111429.13,1993-01-15,2-HIGH,Clerk#000000253,0
3001313,32605,O,210723.69,1998-06-07,3-MEDIUM,Clerk#000000357,0
3001314,9751,O,203220.80,1998-01-27,4-NOT SPECIFIED,Clerk#000000013,0
3001315,74953,O,240142.98,1996-05-26,5-LOW,Clerk#000000554,0
3001316,19051,F,110609.36,1992-07-22,2-HIGH,Clerk#000000302,0
3001317,68134,F,124778.72,1993-05-01,2-HIGH,Clerk#000000885,0
3001318,26758,F,322274.91,1992-11-13,4-NOT SPECIFIED,Clerk#000000789,0
3001319,148330,F,76020.02,1992-06-22,1-URGENT,Clerk#000000318,0
3001344,105893,O,182994.93,1997-08-03,4-NOT SPECIFIED,Clerk#000000818,0
3001345,140269,F,154914.08,1992-05-20,2-HIGH,Clerk#000000537,0
3001346,100700,O,102049.68,1997-01-05,2-HIGH,Clerk#000000573,0
3001347,9124,O,170490.07,1997-05-22,5-LOW,Clerk#000000674,0
3001348,29302,F,288828.29,1992-12-22,4-NOT SPECIFIED,Clerk#000000456,0
3001349,148841,O,210886.57,1995-05-23,2-HIGH,Clerk#000000052,0
3001350,6676,O,120171.01,1995-11-13,1-URGENT,Clerk#000000478,0
3001351,137320,O,190274.56,1996-01-09,2-HIGH,Clerk#000000434,0
3001376,15043,O,94859.05,1995-07-24,5-LOW,Clerk#000000784,0
3001377,54682,F,98557.31,1994-03-18,3-MEDIUM,Clerk#000000279,0
